strategy_id,strategy_name,category,objective,target_etfs,primary_factor,secondary_factor,valid_regime,invalid_regime,core_signal,target_tilt,risk_controls,rebalance_frequency,required_backtest,failure_mode,dashboard_action_label,human_review_required
economic_growth_beta_sleeve,Economic Growth Beta Sleeve,Macro Factor Allocation,Tilt toward broad and growth equity beta when macro growth signals are supportive,SPY;QQQ;IWM;VTI,economic_growth,equity_beta,risk-on;low volatility;credit calm,high volatility;credit stress;equity drawdown,Growth and earnings impulse with stable credit and vol ceiling,Overweight SPY QQQ IWM VTI versus benchmark,Max sector tilt cap; vol scaling; drawdown stop; human gate before switch,Monthly with daily monitor,Minimum 10y backtest; walk-forward optimization; stress tests required; not production-validated,Growth reversal; concentration; late-cycle beta shock,Propose growth beta sleeve review,TRUE
real_rates_duration_sleeve,Real Rates Duration Sleeve,Macro Factor Allocation,Manage duration exposure to real-rate and rate-shock regimes,TLT;IEF;SHY;TIP,real_rates,duration,rates rising;inflation pressure,rates falling;disinflation,Real-yield and breakeven pressure with curve shape confirmation,Reduce long duration; tilt SHY TIP versus TLT when rates rise,Duration cap; curve shock limits; persistence filter; no daily rewrite,Monthly with daily monitor,Minimum 10y backtest; walk-forward; inflation and deflation stress windows; prototype only,Duration whipsaw; inflation signal noise; policy pivot risk,Propose duration sleeve adjustment,TRUE
inflation_protection_sleeve,Inflation Protection Sleeve,Macro Factor Allocation,Protect against inflation and commodity-linked shocks,GLD;TIP;USO;XLE;DBA,inflation,commodities,inflation pressure;oil shock;rising real yields,disinflation;rates falling,Breakeven and commodity confirmation with inflation factor score,Overweight TIP GLD USO XLE DBA versus benchmark,Commodity sleeve cap; inflation persistence rule; human review before activation,Monthly with daily monitor,Minimum 10y backtest; walk-forward; 1970s-style and 2022-style inflation scenarios; not live validated,Commodity volatility; false inflation signals; TIP vs nominal mismatch,Propose inflation protection review,TRUE
credit_risk_premium_sleeve,Credit Risk Premium Sleeve,Macro Factor Allocation,Harvest and monitor credit risk premium with spread discipline,LQD;HYG;EMB;IEF,credit_risk,liquidity,credit calm;liquidity supportive,credit stress;liquidity stress,HYG vs LQD and EM spread stability with vol filter,Overweight LQD HYG EMB when spreads compress; reduce in stress,Spread ceiling; HY exposure cap; escalation to human review,Monthly with daily monitor,Minimum 10y backtest; walk-forward; 2008 2011 2020 credit crisis windows; prototype scoring only,Spread widening false alarms; carry drawdown; EM contagion,Propose credit premium sleeve review,TRUE
sector_relative_strength_rotation,Sector Relative Strength Rotation,Equity Sector Rotation,Rotate among GICS sectors using relative strength and macro alignment,XLK;XLF;XLE;XLV;XLP;XLY;XLI;XLU;XLB;XLRE;XLC,economic_growth,sector_momentum,risk-on;sector dispersion,credit stress;broad drawdown,Cross-sector return ranking with macro factor confirmation,Overweight top two sectors; underweight laggards within concentration limits,Sector cap; turnover band; confirmation lag; rare switch policy,Monthly with weekly monitor,Minimum 10y backtest; walk-forward; sector crowding stress; not production WFO,Sector reversal; crowded trades; macro mismatch,Propose sector rotation candidate review,TRUE
defensive_sector_rotation,Defensive Sector Rotation,Equity Sector Rotation,Rotate toward defensive sectors during risk-off regimes,XLV;XLP;XLU;XLC;IEF;SHY,defensive_quality,low_volatility,risk-off;high volatility;drawdown,risk-on;low volatility,Defensive sector outperformance with vol expansion confirmation,Overweight XLV XLP XLU; reduce cyclical sectors,Max turnover; human gate; lag confirmation; no execution commands,Monthly with daily monitor,Minimum 10y backtest; walk-forward; rebound false-signal study; prototype only,Late re-risk; opportunity cost; false defensive signal,Propose defensive sector rotation review,TRUE
cyclical_recovery_rotation,Cyclical Recovery Rotation,Equity Sector Rotation,Tilt cyclical sectors when recovery signals strengthen,XLY;XLI;XLF;XLE;IWM;SPY,economic_growth,cyclical_beta,risk-on;credit calm;recovery,high volatility;credit stress,Cyclical sector breadth and small-cap confirmation,Overweight XLY XLI XLF XLE IWM,Drawdown stop; credit filter; sector concentration cap,Monthly with weekly monitor,Minimum 10y backtest; walk-forward; recession exit timing risk; not validated live,Recovery stall; cyclical drawdown; policy shock,Propose cyclical recovery tilt review,TRUE
energy_inflation_shock_rotation,Energy Inflation Shock Rotation,Equity Sector Rotation,Emphasize energy and inflation-linked sleeves during commodity shocks,XLE;USO;TIP;GLD;UUP,inflation,commodities,oil shock;inflation pressure,disinflation;oil collapse,Oil and breakeven impulse with energy sector confirmation,Overweight XLE USO TIP GLD; monitor USD pressure,Commodity cap; shock persistence rule; human review mandatory,Monthly with event monitor,Minimum 10y backtest; walk-forward; geopolitical oil scenarios; prototype only,Energy reversal; geopolitical noise; wrong hedge mix,Propose energy inflation rotation review,TRUE
quality_factor_sleeve,Quality Factor Sleeve,Style / Smart Beta,Implement quality factor exposure via investable ETF proxies,QUAL;SPY;IWD,quality,economic_growth,risk-on;low volatility,high volatility;credit stress,Quality spread and profitability proxy momentum,Overweight QUAL versus cap-weight benchmark,Factor crowding cap; tracking error monitor; human review,Monthly with daily monitor,Minimum 10y backtest; walk-forward; quality crash windows; not production backtest,Quality underperformance cycles; factor reversal,Propose quality sleeve review,TRUE
minimum_volatility_sleeve,Minimum Volatility Sleeve,Style / Smart Beta,Reduce portfolio volatility using minimum-volatility factor ETFs,USMV;XLP;XLV;IEF,low_volatility,defensive_quality,low volatility;risk-off preparation,strong risk-on momentum,Low-vol factor relative strength and drawdown control,Overweight USMV and defensive proxies,Vol target band; beta floor monitor; rare activation,Monthly with daily monitor,Minimum 10y backtest; walk-forward; low-vol lag in rallies; prototype scoring,Lagging upside; factor decay; crowding,Propose minimum volatility sleeve review,TRUE
