rule_id,regime_signal,condition_description,risk_level,priority,affected_factors,affected_strategies,recommended_action,action_severity,requires_human_review,data_inputs,notes

risk_on,Risk-On Regime,Equity beta positive with credit calm and volatility below elevated threshold,low,1,equity_beta;growth;credit;liquidity,economic_growth_beta_sleeve,Monitor risk-on growth suitability and benchmark alignment,info,FALSE,SPY return;QQQ return;IWM return;HYG return;LQD return;VIX level;VIX change,Strategy switch is rare; daily monitoring allowed; no daily logic rewrite; backtest and walk-forward required before activation; human review before defensive adjustment or switch

risk_off,Risk-Off Regime,Broad equity weakness with volatility expansion or defensive macro confirmation,high,4,equity_beta;growth;credit;volatility,defensive_sector_rotation;credit_stress_defensive_overlay,Propose defensive rotation review and reduce risk budget subject to human review,escalate,TRUE,SPY return;QQQ return;IWM return;VIX level;VIX change;portfolio drawdown;GLD return,Strategy switch is rare; daily monitoring allowed; no daily overfitting; backtest evidence required; human approval before switch

high_volatility,High Volatility Regime,VIX level or VIX change above elevated threshold with equity instability,high,4,volatility;equity_beta;credit,defensive_sector_rotation;credit_stress_defensive_overlay;volatility_spike_monitor_sleeve,Flag defensive adjustment candidate and volatility risk budget review,escalate,TRUE,VIX level;VIX change;SPY return;QQQ return;portfolio drawdown;portfolio VaR,Strategy switch is rare; propose actions only; human review before defensive adjustment or pause

low_volatility,Low Volatility Regime,VIX level and VIX change below calm threshold with stable credit,low,1,volatility;equity_beta;liquidity,economic_growth_beta_sleeve,Monitor low-vol risk-on sleeve fit; no automatic tilt,info,FALSE,VIX level;VIX change;HYG return;LQD return;SPY return,Daily monitoring allowed; strategy logic not rewritten daily; activation requires backtest and walk-forward

rates_up,Rates Rising Regime,TLT underperformance with rising real-yield or rate-shock proxy confirmation,medium,3,rates;duration;inflation;usd,real_rates_duration_sleeve;inflation_protection_sleeve;defensive_sector_rotation,Propose rates and inflation hedge review; reduce long-duration exposure candidate,propose,TRUE,TLT return;IEF return;SHY return;TIP return;UUP return;SPY return,Human review before defensive duration adjustment; backtest required before strategy activation

rates_down,Rates Falling Regime,TLT outperformance with disinflation or flight-to-duration pattern,medium,2,rates;duration;growth,economic_growth_beta_sleeve;real_rates_duration_sleeve,Monitor rates hedge invalidation and growth sleeve suitability,watch,TRUE,TLT return;IEF return;TIP return;SHY return;SPY return,Daily monitoring only; rare strategy switch; human review if proposing hedge unwind

credit_stress,Credit Stress Regime,HYG underperforms LQD with spread stress and rising volatility,high,4,credit;liquidity;equity_beta;volatility,credit_stress_defensive_overlay;defensive_sector_rotation,Flag credit defense candidate and propose HY exposure reduction subject to human review,escalate,TRUE,HYG return;LQD return;VIX level;VIX change;IWM return;QQQ return,Backtest and walk-forward required; human approval before credit defense activation

credit_calm,Credit Calm Regime,HYG and LQD stable with spread compression or neutral relative performance,low,1,credit;liquidity,economic_growth_beta_sleeve;credit_risk_premium_sleeve,Monitor credit calm and risk-on growth eligibility,info,FALSE,HYG return;LQD return;VIX level;SPY return,Daily monitoring allowed; no automatic strategy switch; human review for any defensive change

