threshold_id,linked_rule_id,metric_name,operator,threshold_value,lookback_window,unit,severity,notes
vix_calm_max,low_volatility,VIX level,<=,15,1,index,low,Prototype calm vol ceiling; calibrate with WFO
vix_elevated_min,high_volatility,VIX level,>=,20,1,index,medium,Prototype elevated vol floor
vix_high_min,high_volatility,VIX level,>=,30,1,index,high,Prototype high vol stress floor
vix_change_1d_elevated,high_volatility,VIX change,>=,3,1,index_points,medium,Single-day VIX spike monitor
vix_stress_liquidity,liquidity_stress,VIX level,>=,28,1,index,critical,Liquidity stress vol confirmation
risk_on_vix_max,risk_on,VIX level,<=,18,1,index,low,Risk-on requires non-elevated vol
risk_on_spy_return_min,risk_on,SPY return,>=,0,20,percent,low,Risk-on equity momentum proxy over 20 sessions
risk_off_spy_return_max,risk_off,SPY return,<=,-0.02,5,percent,high,Risk-off short-horizon equity weakness
risk_off_vix_min,risk_off,VIX level,>=,22,1,index,high,Risk-off vol expansion confirmation
spy_drawdown_60d,risk_off,SPY drawdown,<=,-0.05,60,percent,high,SPY peak-to-trough drawdown proxy
portfolio_drawdown_limit,drawdown_breach,portfolio drawdown,<=,-0.08,252,percent,critical,Prototype max portfolio drawdown threshold
portfolio_drawdown_warning,drawdown_breach,portfolio drawdown,<=,-0.05,60,percent,high,Earlier drawdown watch band
portfolio_var_ratio,var_breach,portfolio VaR,>=,1,1,ratio_to_limit,critical,VaR vs internal limit ratio breach
portfolio_var_ratio_watch,var_breach,portfolio VaR,>=,0.85,1,ratio_to_limit,high,Pre-breach VaR watch band
hyg_lqd_rel_20d_stress,credit_stress,HYG vs LQD relative return,<=,-0.015,20,percent,high,HY underperformance vs IG proxy
hyg_lqd_rel_20d_calm,credit_calm,HYG vs LQD relative return,>=,-0.005,20,percent,low,Credit calm relative performance band
credit_stress_vix_min,credit_stress,VIX level,>=,20,1,index,medium,Credit stress requires vol confirmation
tlt_5d_return_down,rates_up,TLT return,<=,-0.025,5,percent,medium,Rate-shock proxy via long-duration ETF
tlt_20d_return_down,rates_up,TLT return,<=,-0.04,20,percent,high,Sustained duration selloff
tlt_5d_return_up,rates_down,TLT return,>=,0.02,5,percent,medium,Flight-to-duration proxy
tip_20d_return_up,inflation_pressure,TIP return,>=,0.01,20,percent,medium,Inflation-linked strength proxy
uso_5d_return_shock,oil_shock,USO return,>=,0.08,5,percent,high,Prototype oil shock momentum threshold
uup_5d_return_pressure,usd_pressure,UUP return,>=,0.01,5,percent,medium,USD strength pressure proxy
gld_5d_safe_haven,geopolitical_shock,GLD return,>=,0.02,5,percent,medium,Safe-haven confirmation leg
headline_severity_min,geopolitical_shock,headline severity,>=,7,1,score_0_10,critical,High-severity headline gate
cross_asset_confirm_min,geopolitical_shock,cross-asset confirmation count,>=,3,1,count,high,Minimum cross-asset confirmation legs
liquidity_hyg_lqd_stress,liquidity_stress,HYG vs LQD relative return,<=,-0.03,10,percent,critical,Liquidity stress credit dislocation
strategy_drift_abs,strategy_drift,strategy return deviation,>=,0.02,20,percent,medium,Live vs expected band breach
strategy_drift_severe,strategy_drift,strategy return deviation,>=,0.04,20,percent,high,Severe strategy tracking deviation
inflation_uso_5d_support,inflation_pressure,USO return,>=,0.03,5,percent,medium,Commodity confirmation for inflation pressure
inflation_tlt_5d_down_support,inflation_pressure,TLT return,<=,-0.025,5,percent,medium,Duration selloff confirmation for inflation pressure
